perimetro,area,DPA_PARROQ,DPA_DESPAR,Area ha,Parroquia,COD,PIT,CLASIFICAC,SUBCLASIFI,NIVEL_USO,PIT_TRATAM,ACT_GENERA,USO_GENERA,SECTOR,COD_UE,SUBCLAS_UR,COD_PARR,ubicacion,tratamient,densidad,area_2,codigo,zona,LOTE_MIN,DENS_PROP,ALTURA_MAX,SUBCLASS,area_m2
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,DESARROLLO,Media,78.527718946778577,EXP-SIN-8,EXP,"0",,"0",SUELO RURAL DE EXPANSION URBANA,785277.1865
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03_01,AREA AGRICOLA SOSTENIBLE,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,40.502017282865886,,RU,"0",,"0",PRODUCCION,405020.1714
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR04,BOSQUES PROTECTORES (Que no coinciden con otro PIT),RURAL,PROTECCION,BOSQUES PROTECTORES,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010155",,,,1483.102974700000004,,RU,"0",,"0",PROTECCION,14831029.7432
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010155",,,,91.369744924214771,,RU,"0",,"0",PROTECCION,913697.4473
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010155",,,,90.607436804124902,,RU,"0",,"0",PROTECCION,906074.3628
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010165",,,,295.970248988210983,,RU,"0",,"0",PROTECCION,2959702.4922
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR03,AREA DE CONSERVACION Y USO SUSTENTABLE,RURAL,PROTECCION,ACUS,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010167",,,,609.381540499130324,,RU,"0",,"0",PROTECCION,6093815.4023
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR02,AREA DE INTERES HIDRICO (ETAPA),RURAL,PROTECCION,INTERES HIDRICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010163",,,,11848.706495500000528,,RU,"0",,"0",PROTECCION,118487064.9766
91091.51,150786544.73,"010168",TARQUI,15084.07339000,TARQUI,P01,ASENTAMIENTO RURAL,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010168",,,,7.187730826257750,,RU,"0",,"0",PRODUCCION,71877.3086
91091.51,150786544.73,"010168",TARQUI,15084.07339000,TARQUI,P05_01,AREA PECUARIA RESTRINGIDA,RURAL,PRODUCCION,PECUARIO,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010171",,,,390.228728725134488,,RU,"0",,"0",PRODUCCION,3902287.2861
